35065,2014,1,1,0,4,155,136,209,-4,64.42,1020,2,SW,26,0,0
35066,2014,1,1,1,4,140,173,191,-5,51.84,1020,4,SW,29,0,0
35067,2014,1,1,2,4,174,166,187,-5,55.63,1020,3,SW,31,0,0
35068,2014,1,1,3,4,NA,157,188,-5,55.63,1020,3,SW,33,0,0
35069,2014,1,1,4,4,146,157,185,-4,60,1020,3,SW,34,0,0
35070,2014,1,1,5,4,127,147,181,-4,60,1020,3,SW,35,0,0
35071,2014,1,1,6,4,156,154,183,-5,59.74,1020,2,SW,38,0,0
35072,2014,1,1,7,4,132,142,191,-3,69.43,1021,2,SW,39,0,0
35073,2014,1,1,8,4,161,137,192,-4,55.91,1021,4,SW,41,0,0
35074,2014,1,1,9,4,139,138,191,-4,45.4,1022,7,SW,44,0,0
35075,2014,1,1,10,4,153,121,161,-5,34.36,1022,10,SW,48,0,0
35076,2014,1,1,11,4,109,100,132,-5,28.18,1021,13,NW,4,0,0
35077,2014,1,1,12,4,118,81,117,-7,22.66,1020,14,SW,5,0,0
35078,2014,1,1,13,4,77,75,99,-9,17.05,1019,16,NW,5,0,0
35079,2014,1,1,14,4,96,78,88,-8,18.44,1018,16,SW,5,0,0
35080,2014,1,1,15,4,NA,71,82,-11,14.55,1018,16,NW,5,0,0
35081,2014,1,1,16,4,89,79,77,-9,18.18,1018,15,NW,9,0,0
35082,2014,1,1,17,4,81,84,96,-8,22.38,1019,13,SW,2,0,0
35083,2014,1,1,18,4,115,100,110,-8,23.89,1019,12,SW,3,0,0
35084,2014,1,1,19,4,107,106,135,-7,29.48,1019,10,cv,0,0,0
35085,2014,1,1,20,4,150,142,174,-6,31.84,1020,10,SW,2,0,0
35086,2014,1,1,21,4,130,163,NA,-5,36.74,1020,9,SE,1,0,0
35087,2014,1,1,22,4,158,171,NA,-5,39.32,1020,8,cv,1,0,0
35088,2014,1,1,23,4,158,163,NA,-5,42.1,1020,7,cv,1,0,0
35089,2014,1,2,0,4,143,174,242,-4,52.13,1020,5,SW,2,0,0
35090,2014,1,2,1,4,167,182,250,-3,56.18,1020,5,cv,0,0,0
35091,2014,1,2,2,4,167,160,215,-4,60,1020,3,cv,0,0,0
35092,2014,1,2,3,4,107,132,169,-3,64.66,1020,3,cv,0,0,0
35093,2014,1,2,4,4,114,116,144,-2,74.78,1020,2,cv,0,0,0
35094,2014,1,2,5,4,95,114,139,-3,69.43,1020,2,cv,0,0,0
35095,2014,1,2,6,4,108,99,126,-3,69.43,1020,2,cv,0,0,0
35096,2014,1,2,7,4,77,95,108,-3,69.43,1020,2,cv,0,0,0
35097,2014,1,2,8,4,87,77,105,0,65.36,1020,6,NE,1,0,0
35098,2014,1,2,9,4,73,81,109,0,46.58,1020,11,SE,3,0,0
35099,2014,1,2,10,4,92,101,124,-3,32.75,1020,13,SE,7,0,0
35100,2014,1,2,11,4,93,88,120,-3,28.77,1019,15,SE,11,0,0
35101,2014,1,2,12,4,102,63,88,-5,23.22,1018,16,SE,15,0,0
35102,2014,1,2,13,4,56,NA,62,-9,16,1017,17,SE,19,0,0
35103,2014,1,2,14,4,48,33,60,-7,17.55,1016,18,SE,24,0,0
35104,2014,1,2,15,4,70,44,47,-5,21.79,1016,17,SE,30,0,0
35105,2014,1,2,16,4,62,73,83,-1,31.28,1016,16,SE,35,0,0
35106,2014,1,2,17,4,68,66,116,1,38.56,1016,15,SE,40,0,0
35107,2014,1,2,18,4,77,71,124,3,50.65,1017,13,SE,45,0,0
35108,2014,1,2,19,4,72,75,127,4,58.03,1017,12,SE,49,0,0
35109,2014,1,2,20,4,72,76,127,5,62.24,1017,12,SE,53,0,0
35110,2014,1,2,21,4,71,74,114,5,66.49,1017,11,SE,57,0,0
35111,2014,1,2,22,4,77,68,112,5,71.07,1017,10,SE,60,0,0
35112,2014,1,2,23,4,70,70,111,6,71.27,1017,11,SE,64,0,0
35113,2014,1,3,0,4,73,71,99,6,71.27,1016,11,SE,68,0,0
35114,2014,1,3,1,4,69,68,92,6,71.27,1016,11,cv,1,0,0
